"","UBIDPTO","REGION","ZONA","OCU","INFORM","SEXO","GEDUC","AEDUC","AEDAD","AEDAD2","WS","LWS"
"895","13","Costa","Urbana","Ocupado","Informal","Masculino","Sup. Univ.",12,25,625,161.076579937058,5.08187990368098
"896","13","Costa","Urbana","Ocupado","Formal","Masculino","Sup. Univ.",13,28,784,368.870929695126,5.91044679882778
"897","13","Costa","Urbana","Ocupado","Formal","Femenino","Sup. Univ.",16,64,4096,525.709156951378,6.26474812626107
"898","13","Costa","Urbana","Ocupado","Formal","Femenino","Sup. Univ.",16,31,961,214.00804328106,5.36601359974105
"899","13","Costa","Urbana","Ocupado","Informal","Femenino","Primaria",3,58,3364,450.836749526302,6.11110529953133
"900","13","Costa","Urbana","Ocupado","Informal","Masculino","Secundaria",11,63,3969,119.651956450447,4.78458716566614
"901","13","Sierra","Rural","Ocupado","Informal","Femenino","Primaria",0,48,2304,83.9286968030403,4.42996759078534
"902","13","Sierra","Rural","Ocupado","Informal","Masculino","Secundaria",11,18,324,73.6437750873082,4.29923961913712
"903","13","Sierra","Rural","Ocupado","Informal","Femenino","Secundaria",7,21,441,309.284677300265,5.73426213853587
"904","13","Sierra","Rural","Ocupado","Informal","Masculino","Secundaria",11,25,625,80.5478790017433,4.38885177782681
"905","13","Sierra","Rural","Ocupado","Informal","Femenino","Primaria",6,18,324,9.20547188591352,2.21979807745729
"906","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",6,37,1369,34.5205195721757,3.54155391743961
"907","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",6,51,2601,17.2602597860878,2.84840673687966
"908","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",5,46,2116,75.9451430587865,4.33001127780388
"909","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",3,60,3600,46.0273594295676,3.82923598989139
"910","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",5,25,625,345.166839588899,5.84402789314924
"911","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",6,56,3136,73.6437750873082,4.29923961913712
"912","13","Sierra","Rural","Ocupado","Informal","Femenino","Primaria",2,30,900,57.5341992869595,4.0523795412056
"913","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",6,55,3025,54.0821473297419,3.99050413748751
"914","13","Sierra","Rural","Ocupado","Informal","Masculino","Secundaria",11,27,729,16.5698493946443,2.80758474235941
"915","13","Sierra","Rural","Ocupado","Informal","Femenino","Primaria",5,23,529,17.2602597860878,2.84840673687966
"916","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",6,41,1681,158.314938371284,5.06458632990958
"917","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",4,43,1849,45.7972226324198,3.82422344806784
"918","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",3,45,2025,119.440997719728,4.78282250650924
"919","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",0,58,3364,26.6958684691492,3.28450881444972
"920","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",6,55,3025,14.268481423166,2.65805300838844
"921","13","Sierra","Rural","Ocupado","Informal","Femenino","Primaria",6,58,3364,42.3451706752022,3.74585438095234
"922","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",5,29,841,39.813665906576,3.68421021784113
"923","13","Costa","Urbana","Ocupado","Formal","Masculino","Sup. No Univ.",14,53,2809,553.133791944829,6.31559991067737
"924","13","Costa","Urbana","Ocupado","Informal","Masculino","Secundaria",7,36,1296,100.531424220747,4.6104703574387
"925","13","Costa","Urbana","Ocupado","Informal","Masculino","Secundaria",7,55,3025,115.04922050749,4.74536004120844
"926","13","Costa","Urbana","Ocupado","Informal","Masculino","Primaria",6,79,6241,16.1095758003487,2.77941386539271
"927","13","Costa","Urbana","Ocupado","Informal","Masculino","Secundaria",11,37,1369,276.144978510977,5.62092601226362
"928","13","Costa","Urbana","Ocupado","Informal","Femenino","Sup. No Univ.",14,48,2304,371.479146729468,5.91749272995639
"929","13","Costa","Urbana","Ocupado","Informal","Femenino","Sup. No Univ.",14,33,1089,17.2602597860878,2.84840673687966
"930","13","Costa","Urbana","Ocupado","Informal","Masculino","Secundaria",8,66,4356,3.45205195721757,1.23896882444556
"931","13","Costa","Urbana","Ocupado","Formal","Masculino","Secundaria",11,24,576,294.076470622079,5.68383983767419
"932","13","Costa","Urbana","Ocupado","Informal","Masculino","Primaria",6,58,3364,240.397062687346,5.48229198414775
"933","13","Costa","Urbana","Ocupado","Informal","Masculino","Primaria",6,38,1444,236.810764265125,5.4672613591774
"934","13","Costa","Urbana","Ocupado","Formal","Masculino","Sup. Univ.",16,25,625,486.202340107666,6.18662487492611
"935","13","Costa","Urbana","Ocupado","Informal","Masculino","Secundaria",11,50,2500,98.9588227735703,4.59470383203096
"936","13","Costa","Urbana","Ocupado","Informal","Masculino","Secundaria",11,19,361,115.04922050749,4.74536004120844
"937","13","Costa","Urbana","Ocupado","Informal","Femenino","Primaria",0,72,5184,3.45205195721757,1.23896882444556
"938","13","Costa","Urbana","Ocupado","Formal","Masculino","Secundaria",11,61,3721,280.843604786078,5.63779794779548
"939","13","Costa","Urbana","Ocupado","Informal","Masculino","Secundaria",11,37,1369,250.408013363277,5.52309164096339
"940","13","Costa","Urbana","Ocupado","Formal","Masculino","Secundaria",10,35,1225,207.142295499483,5.33340597497383
"941","13","Costa","Urbana","Ocupado","Informal","Femenino","Sup. No Univ.",14,24,576,232.169672189311,5.44746845000698
"942","13","Costa","Urbana","Ocupado","Formal","Masculino","Sup. No Univ.",14,25,625,682.16382287905,6.52526983849785
"943","13","Costa","Urbana","Ocupado","Informal","Masculino","Secundaria",11,52,2704,162.514934919232,5.09076990474186
"944","13","Costa","Urbana","Ocupado","Formal","Masculino","Sup. No Univ.",14,56,3136,357.996966029891,5.88052451158795
"945","13","Costa","Urbana","Ocupado","Informal","Femenino","Secundaria",11,54,2916,37.1479146729468,3.61490763696235
"946","13","Costa","Urbana","Ocupado","Informal","Masculino","Sup. No Univ.",14,32,1024,89.0245843633553,4.48891256038973
"947","13","Costa","Urbana","Ocupado","Informal","Masculino","Secundaria",7,55,3025,184.780670043285,5.21916955440382
"948","13","Costa","Urbana","Ocupado","Informal","Masculino","Sup. No Univ.",13,37,1369,48.5205080653358,3.88198655527692
"949","13","Costa","Urbana","Ocupado","Formal","Femenino","Secundaria",8,34,1156,283.355931488276,5.64670381582965
"950","13","Costa","Urbana","Ocupado","Formal","Masculino","Secundaria",11,36,1296,337.975064678029,5.82297211961972
"951","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",0,66,4356,81.2574674596158,4.39762272418191
"952","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",6,61,3721,180.743911802949,5.19708117750035
